mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,label
-391.8252,86.733055,21.75606,13.757183,9.030744,12.091555,12.048173,0.36570874,1.7376573,5.4751897,-5.656949,-6.118983,-5.5719476,-4.7571483,-3.2884645,-0.07131161,-0.12842578,-6.0779266,-2.4412115,-3.0305367,buka
-219.55458,95.143524,23.050543,11.27375,12.111441,7.2538767,12.820862,-2.0456984,-0.2795058,7.2768064,-7.029059,-7.047171,-9.19152,-6.422854,-3.832167,-0.06807582,-3.157759,-4.7529917,-6.085726,-4.260391,buka
-231.49965,95.491196,21.78669,16.874832,9.731382,10.7662325,14.763392,2.3153365,0.4828452,3.2605042,-6.200699,-1.7126042,-7.362328,-1.6833941,-0.3366808,-2.1630065,-2.2623572,-2.6849759,-4.889982,-5.064355,buka
-239.90352,93.402954,20.391285,14.796158,7.593359,8.971307,12.700639,-0.08105777,0.0014423957,4.2892537,-6.7811017,-2.9793773,-8.099751,-2.4107003,-0.21125925,-2.0338569,-2.7437444,-4.011409,-4.7664046,-5.796066,buka
-239.52228,96.24301,13.798207,11.316676,9.502037,7.641552,16.703917,0.59138685,-1.3142829,5.2974663,-8.986366,-1.3696989,-7.2023935,-7.7265234,0.5046004,-3.0005393,-4.273159,-3.4249082,-4.315732,-7.084563,buka
-259.80292,96.80133,19.465597,11.098683,9.829651,7.9384923,14.170372,3.087037,-1.173308,6.899849,-4.0680227,-7.8123565,-8.402834,-4.8598046,-2.2912722,-1.9980553,-1.0134645,-3.0058246,-5.0927253,-4.7527666,buka
-206.38766,96.359825,23.984728,12.084601,10.7318125,13.319318,15.112576,0.8856103,3.225643,2.8383245,-6.4283295,-4.5903444,-7.86277,-3.5818188,-0.5638733,-2.287459,-1.0595628,-2.297862,-5.3780546,-2.2412007,buka
-225.2708,100.695435,23.326643,14.003166,11.063984,11.449078,12.317156,1.7508847,0.6332656,3.6387193,-9.735155,-4.532401,-8.012664,-4.084315,-0.13949202,-1.765459,-2.9788146,-2.4822242,-5.305709,-3.8664231,buka
-255.02707,97.6062,23.150482,16.01114,9.950019,10.440307,14.001793,-0.31459963,1.017285,4.1422873,-6.80619,-5.2452965,-5.953455,-4.4418464,-1.102192,-0.83612335,-4.0433154,-2.2168088,-6.361521,-3.7254648,buka
-226.85788,97.7,26.266157,15.407944,10.567174,10.732785,13.3200865,-0.1442315,-1.0202521,4.4873137,-4.3546853,-0.45875242,-7.922656,-3.5714445,0.046088982,-4.6920633,-4.1640244,-1.152553,-4.7375326,-5.8481774,buka
-238.1061,96.16849,26.875565,13.989244,9.889541,12.501185,12.44533,1.6174741,-1.1506815,2.243732,-4.54759,-1.8452233,-6.9920936,-5.810457,-0.9601081,-2.7534256,-2.466164,-1.180166,-5.4574976,-7.0119905,buka
